offset,tt,src_easting_original,src_northing_original,src_elevation,rec_easting_original,rec_northing_original,rec_elevation,src_easting,src_northing,rec_easting,rec_northing,src_name,rec_name
386.69,0.31448000000000004,2702034.740002,1172938.39,2220.1,2702421.0,1172956.58,2259.46,834.7400019997731,1438.3899999998976,1221.0,1456.5800000000745, 835_1438,1221_1457
386.85,,2702708.11,1172936.64,2288.94,2702321.29,1172931.75,2254.67,1508.1099999998696,1436.6399999998976,1121.2900000000373,1431.75,1508_1437,1121_1432
386.9,,2702240.51,1172828.18,2226.41,2702042.169998,1172495.9899979,2016.81,1040.5099999997765,1328.1799999999348,842.1699979999103,995.9899979000911,1041_1328, 842_ 996
386.94,0.3655,2701957.400002,1172340.5599976,1910.46,2702126.049999,1172688.81,2139.08,757.4000019999221,840.5599976000376,926.049999000039,1188.8100000000559, 757_ 841, 926_1189
386.99,,2702482.05,1172938.8,2252.25,2702095.23,1172927.28,2229.34,1282.0499999998137,1438.8000000000466,895.2299999999814,1427.280000000028,1282_1439, 895_1427
387.11,0.2811,2702091.33,1172937.71,2230.38,2702477.96,1172957.0,2260.93,891.3300000000745,1437.7099999999627,1277.9599999999627,1457.0, 891_1438,1278_1457
387.35,,2702651.16,1172938.45,2279.58,2702263.91,1172929.81,2258.07,1451.160000000149,1438.4499999999534,1063.910000000149,1429.8100000000559,1451_1438,1064_1430
387.67,0.27646,2701977.199997,1172938.14,2216.54,2702364.45,1172956.09,2256.39,777.1999969999306,1438.1399999998976,1164.4500000001863,1456.0900000000838, 777_1438,1164_1456
387.69,,2702595.07,1172938.85,2263.52,2702207.52,1172928.59,2247.94,1395.0699999998324,1438.8500000000931,1007.5200000000186,1428.5900000000838,1395_1439,1008_1429
387.82,,2702294.31,1172926.25,2260.6,2702097.780001,1172591.9099998,2075.99,1094.3100000000559,1426.25,897.7800010000356,1091.9099997999147,1094_1426, 898_1092
388.73,0.20626,2701706.309998,1171905.3699951,1654.35,2701876.020004,1172255.1000061,1854.24,506.30999800004065,405.36999509995803,676.0200040000491,755.1000061000232, 506_ 405, 676_ 755
388.81,,2702538.21,1172939.27,2255.81,2702149.580002,1172927.36,2241.62,1338.2099999999627,1439.2700000000186,949.5800020000897,1427.3600000001024,1338_1439, 950_1427
388.86,0.37873,2702323.54,1172975.8,2271.06,2702126.380001,1172640.6299973,2104.92,1123.5400000000373,1475.8000000000466,926.3800010001287,1140.629997299984,1124_1476, 926_1141
389.42,0.30025999999999997,2702196.5,1172930.82,2247.7,2701807.160004,1172922.99,2159.89,996.5,1430.8200000000652,607.1600040001795,1422.9899999999907, 996_1431, 607_1423
389.63,0.20453,2701866.809998,1172190.6000061,1815.96,2701651.690002,1171865.7399902,1612.8,666.8099980000407,690.6000061000232,451.69000199995935,365.73999019991606, 667_ 691, 452_ 366
390.03,0.32556999999999997,2702145.699997,1172935.61,2243.58,2702535.05,1172958.65,2264.45,945.6999969999306,1435.6100000001024,1335.0499999998137,1458.6499999999069, 946_1436,1335_1459
