station_number,northing_original,easting_original,elevation,easting,northing
5452,1172818.611,2702467.949,2211.5155,1267.9490000000224,1318.6110000000335
5453,1172818.611,2702467.949,2211.5155,1267.9490000000224,1318.6110000000335
5454,1172819.181,2702467.205,2211.324,1267.2050000000745,1319.1810000000987
5455,1172819.44233333,2702466.41833333,2211.344,1266.4183333301917,1319.4423333299346
5456,1172819.70366667,2702465.63166667,2211.364,1265.6316666700877,1319.703666670015
5457,1172819.965,2702464.845,2211.384,1264.845000000205,1319.9650000000838
5458,1172820.28433333,2702463.9335,2211.35233333333,1263.93349999981,1320.2843333301134
5459,1172820.60366667,2702463.022,2211.32066666667,1263.0219999998808,1320.603666669922
5460,1172820.923,2702462.1105,2211.289,1262.1104999999516,1320.9229999999516
5461,1172821.24233333,2702461.199,2211.25733333333,1261.1990000000224,1321.2423333299812
5462,1172821.56166667,2702460.2875,2211.22566666667,1260.2875000000931,1321.5616666700225
5463,1172821.881,2702459.376,2211.194,1259.376000000164,1321.8810000000522
5464,1172822.43142857,2702458.55,2211.16457142857,1258.5499999998137,1322.4314285700675
5465,1172822.98185714,2702457.724,2211.13514285714,1257.7239999999292,1322.9818571400829
5466,1172823.53228571,2702456.898,2211.10571428571,1256.8980000000447,1323.5322857100982
5467,1172824.08271429,2702456.072,2211.07628571429,1256.0720000001602,1324.0827142898925
5468,1172824.63314286,2702455.246,2211.04685714286,1255.24599999981,1324.6331428599078
5469,1172825.18357143,2702454.42,2211.01742857143,1254.4199999999255,1325.1835714299232
5470,1172825.734,2702453.594,2210.988,1253.594000000041,1325.7339999999385
5471,1172826.31771429,2702452.803,2211.06485714286,1252.8029999998398,1326.317714289995
5472,1172826.90142857,2702452.012,2211.14171428571,1252.0120000001043,1326.9014285700396
5473,1172827.48514286,2702451.221,2211.21857142857,1251.2209999999031,1327.485142860096
5474,1172828.06885714,2702450.43,2211.29542857143,1250.4300000001676,1328.0688571399078
5475,1172828.65257143,2702449.639,2211.37228571429,1249.6389999999665,1328.6525714299642
5476,1172829.23628571,2702448.848,2211.44914285714,1248.848000000231,1329.2362857100088
5477,1172829.82,2702448.057,2211.526,1248.0570000000298,1329.8200000000652
5478,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5479,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5480,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5481,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5482,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5483,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5484,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5485,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5486,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5487,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5488,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5489,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5490,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5491,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5492,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5493,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5494,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5495,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5496,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5497,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5498,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5499,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5500,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5501,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5502,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5503,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5504,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5505,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5506,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5507,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5508,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5509,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5510,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5511,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5512,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5513,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5514,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5515,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5516,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5517,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5518,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5519,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5520,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5521,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5522,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5523,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5524,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5525,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5526,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5527,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5528,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5529,1172829.572,2702445.796,2211.015,1245.7960000000894,1329.5719999999274
5530,1172830.686,2702447.478,2211.595,1247.4780000001192,1330.685999999987
5531,1172831.70566667,2702447.60033333,2211.928,1247.6003333302215,1331.70566667011
5532,1172832.72533333,2702447.72266667,2212.261,1247.7226666701026,1332.7253333299886
5533,1172833.745,2702447.845,2212.594,1247.845000000205,1333.7450000001118
5534,1172834.76466667,2702447.96733333,2212.927,1247.9673333298415,1334.764666670002
5535,1172835.78433333,2702448.08966667,2213.26,1248.0896666701883,1335.7843333301134
5536,1172836.804,2702448.212,2213.593,1248.211999999825,1336.8040000000037
5537,1172837.753,2702448.338375,2214.072625,1248.3383749998175,1337.753000000026
5538,1172838.702,2702448.46475,2214.55225,1248.46474999981,1338.7020000000484
5539,1172839.651,2702448.591125,2215.031875,1248.5911249998026,1339.6510000000708
5540,1172840.6,2702448.7175,2215.5115,1248.717499999795,1340.6000000000931
5541,1172841.549,2702448.843875,2215.991125,1248.8438749997877,1341.5490000001155
5542,1172842.498,2702448.97025,2216.47075,1248.9702499997802,1342.497999999905
5543,1172843.447,2702449.096625,2216.950375,1249.0966249997728,1343.4469999999274
5544,1172844.396,2702449.223,2217.43,1249.223000000231,1344.3959999999497
5545,1172845.30309091,2702449.20736364,2217.85990909091,1249.2073636399582,1345.3030909099616
5546,1172846.21018182,2702449.19172727,2218.28981818182,1249.1917272699066,1346.2101818199735
5547,1172847.11727273,2702449.17609091,2218.71972727273,1249.1760909100994,1347.1172727299854
5548,1172848.02436364,2702449.16045455,2219.14963636364,1249.1604545498267,1348.0243636399973
5549,1172848.93145455,2702449.14481818,2219.57954545455,1249.144818179775,1348.9314545500092
5550,1172849.83854545,2702449.12918182,2220.00945454545,1249.129181819968,1349.8385454500094
5551,1172850.74563636,2702449.11354545,2220.43936363636,1249.1135454499163,1350.7456363600213
5552,1172851.65272727,2702449.09790909,2220.86927272727,1249.0979090901092,1351.6527272700332
