name,station_number,elevation,easting_original,northing_original,easting,northing
1224_1314,1349,2205.634,2702423.874,1172813.636,1223.873999999836,1313.6359999999404
1253_1314,1350,2208.667,2702452.81,1172814.17,1252.8100000000559,1314.1699999999255
1282_1315,1351,2210.09,2702482.26,1172814.557,1282.2599999997765,1314.5570000000298
1310_1315,1352,2207.993,2702509.881,1172814.785,1309.8810000000522,1314.7849999999162
1337_1317,1353,2200.985,2702537.239,1172816.703,1337.2390000000596,1316.7029999999795
1367_1316,1354,2203.452,2702567.098,1172815.651,1367.098000000231,1315.6510000000708
1396_1316,1355,2213.742,2702595.785,1172815.979,1395.785000000149,1315.9790000000503
1424_1317,1356,2221.297,2702624.141,1172817.122,1424.1409999998286,1317.121999999974
1453_1315,1357,2227.92,2702652.674,1172815.154,1452.6740000001155,1315.1540000000969
1481_1317,1358,2234.904,2702681.201,1172816.705,1481.2009999998845,1316.7050000000745
1539_1318,1360,2238.557,2702738.807,1172818.066,1538.8070000000298,1318.066000000108
 667_1280,1361,2107.7,2701867.171,1172780.17,667.1710000000894,1280.1699999999255
 726_1285,1363,2138.774,2701925.582,1172785.041,725.5819999999367,1285.0409999999683
 753_1282,1364,2150.994,2701952.773,1172781.692,752.7730000000447,1281.6920000000391
 781_1282,1365,2160.727,2701980.698,1172782.482,780.6979999998584,1282.4820000000764
 809_1283,1366,2168.225,2702009.446,1172782.686,809.4459999999963,1282.685999999987
 839_1285,1367,2176.872,2702038.671,1172784.599,838.6710000000894,1284.5989999999292
 895_1284,1369,2192.692,2702095.385,1172784.037,895.3849999997765,1284.0370000000112
 923_1284,1370,2198.529,2702123.004,1172783.9,923.00400000019,1283.8999999999069
 954_1285,1371,2204.703,2702153.644,1172784.733,953.6439999998547,1284.7330000000075
 981_1285,1372,2208.349,2702181.188,1172785.033,981.188000000082,1285.033000000054
1010_1286,1373,2213.836,2702209.703,1172786.125,1009.7030000002123,1286.125
1038_1286,1374,2206.692,2702237.988,1172785.814,1037.9879999998957,1285.814000000013
1067_1288,1375,2211.187,2702267.314,1172787.804,1067.3139999997802,1287.8040000000037
1098_1288,1376,2212.674,2702297.542,1172787.884,1097.5419999998994,1287.8840000000782
1125_1289,1377,2207.575,2702324.758,1172788.52,1124.7579999999143,1288.5200000000186
1154_1289,1378,2201.468,2702354.034,1172788.997,1154.033999999985,1288.996999999974
1181_1289,1379,2199.782,2702381.194,1172789.153,1181.194000000134,1289.152999999933
1210_1289,1380,2200.023,2702409.786,1172788.9,1209.7859999998473,1288.8999999999069
1238_1289,1381,2202.061,2702438.072,1172789.452,1238.0720000001602,1289.4520000000484
1266_1290,1382,2201.55,2702466.007,1172790.439,1266.007000000216,1290.439000000013
1295_1290,1383,2198.328,2702494.573,1172789.665,1294.5729999998584,1289.6650000000373
1323_1289,1384,2193.053,2702522.942,1172789.307,1322.9419999998063,1289.3070000000298
1352_1291,1385,2188.5,2702551.796,1172791.03,1351.7960000000894,1291.030000000028
1382_1293,1386,2200.712,2702582.167,1172792.618,1382.1669999998994,1292.6180000000168
1410_1292,1387,2206.145,2702610.318,1172792.006,1410.3179999999702,1292.0060000000522
1436_1294,1388,2213.445,2702636.12,1172794.195,1436.1200000001118,1294.1950000000652
1467_1293,1389,2218.942,2702666.576,1172792.71,1466.5759999998845,1292.7099999999627
1492_1310,1390,2222.558,2702691.934,1172810.297,1491.933999999892,1310.2970000000205
1525_1299,1391,2224.905,2702725.279,1172799.415,1525.2790000000969,1299.4150000000373
1552_1294,1392,2220.292,2702751.775,1172794.359,1551.7749999999069,1294.3589999999385
